…分之… | Fraction
次第 | In order
次要 | Secondary
次要情节 | Secondary plot
次贷 | Subprime Loans
次连续 | Second-order
次重音 | Secondary stress
次长 | Vice Minister
次除 | 
欢乐 | Joy
欢乐地 | Joyfully
欢乐气氛 | Festive atmosphere
欢乐祥和 | Joyful and harmonious
欢呼 | Cheer
欢呼声 | Cheers
欢喜 | Joy
欢声 | Cheers
欢声笑语 | Laughter and joy
欢庆 | Huānkè
欢度 | Celebrate
欢心 | Popular
欢快 | Cheerful
欢悦 | Joyful
欢愉 | Joy
欢朱敦儒 | Joyful Zhu Dun and Confucian
欢欣 | Joyful
欢欣鼓舞 | Encouraging
欢歌 | Joyful songs
欢游诣 | To frolic and visit
欢畅 | Joyful
欢笑 | Laughter
欢聚 | Gather happily
欢聚一堂 | Gather together
欢腾 | Jubilation
欢舞 | Joyful dance
欢迎 | Welcome
欢迎仪式 | Welcome Ceremony
欢送 | Farewell
欢送会 | Farewell party
欢颜 | Huan Yan
欢饮 | Welcome
欣周 | Xin Zhou
欣喜 | Joyful
欣喜若狂 | Ecstatic
欣悦 | Joyful
欣慰 | Gratified
欣欣向荣 | Thriving
欣欣然 | Prosperous and Happy
欣然 | Gladly
欣然同意 | Gladly agree
欣然命笔 | Gladly taking up the pen
欣然接受 | Willingly accept
欣译 | Happy translation
欣赏 | Appreciate
欣赏者 | Appreciator
欣赏课 | Appreciation class
欧三洲 | Europe
欧也妮 | O'Neill
欧亚大陆 | Eurasia
欧亚非 | Eurasia
欧仁 | Eugene
欧佩克 | OPEC
欧元 | Euro
欧共体 | European Union
欧几里得 | Euclid
欧化 | Europeanized
欧地 | Central Asia
欧多脉 | Odu Mai
欧姆 | Ohm
欧姆定律 | Ohm's law
欧尔 | Ouer
欧文 | Erwin
欧洲 | Europe
欧洲中央银行 | European Central Bank
欧洲人 | European
欧洲共同体 | European Community
欧洲原子能共同体 | European Atomic Energy Community
欧洲各国 | European Countries
欧洲盟军 | European Allied Forces
欧洲经济共同体 | European Economic Community
欧洲联盟 | European Union
欧洲议会 | European Parliament
欧海 | European Sea
欧游 | European Tour
欧盟 | European Union
欧罗巴洲 | Europe
欧美 | Europe
欧美各国 | Countries of Europe and America
欧美国家 | Western countries
欧词 | Poems of Ouyang
欧鄂 | Orok
欧阳 | Ouyang
欧阳修 | Ouyang Xiu
欧阳谦叔 | Ou Yangqian Shu
欲何 | What do you want?
欲哭无泪 | Want to cry and unable to
欲扬先抑 | To first praise and then criticize
欲报 | To seek revenge
欲望 | Desire
欲济 | About to set out
欲渡 | Wish to cross
欲滴 | About to drip
欲界 | Desire realm
欲立 | To aspire
欲罢不能 | Unable to bear
欲识 | Wish to know
欲说还休 | Words spoken cannot be recalled
欺世 | To deceive the public
欺世盗名 | Deceive the public and steal one's name
欺人 | Deceive
欺侮 | To bully
欺凌 | Bullying
欺压 | Oppression
欺子子 | Deceive one's own son
欺生 | Deceit
欺诈 | Defraud
欺负 | Bully
欺辱 | Abuse
欺骗 | Deceive
款式 | Style
款待 | Hospitality
款款 | Stylish
款识 | Kuan Shi
款项 | Fund
款额 | Amount
歇下 | Stop
歇凉 | Cool rest
歇山 | Steep-hipped Roof
歇息 | Rest
歇斯底里 | Hysterical breakdown
歇晌 | Rest Time
歇歇 | Rest a while
歇歇脚 | To rest a while
歇脚 | To rest
歉意 | Apology
歉收 | Crop Failure
歌于 | To sing in
歌仙 | Song Immortal
歌仙节 | Song Festival
歌以 | Singing
歌会 | Musical gathering
歌儿 | Song
歌其事 | To sing about affairs
歌其食 | To sing about food
歌剧 | Opera
歌剧院 | Opera House
歌听 | Listen to Song
歌吹 | Singing
歌咏 | Sing
歌唱 | Sing
歌唱家 | Singer
歌唱性 | Vocal quality
歌唱祖国 | Singing about the motherland
歌喉 | Vocal cords
歌声 | Singing
歌女 | Female singer
歌如 | Like a Song
歌德 | Goethe
歌手 | Singer
歌数 | Song number
歌星 | Singer
歌曲 | Song
歌曲体裁 | Song genre
歌残终 | Ending a song
歌漫歌 | Ge Man Ge
歌片 | Record
歌笑 | Singing and laughter
歌舞 | Singing and dancing
歌舞伎 | Kabuki
歌舞剧 | Musical drama
歌舞升平 | With music and dance
歌舞厅 | Nightclub
歌舞团 | Song and Dance Troupe
歌行 | Song-poetry
歌词 | Lyric
歌谣 | Folk song
歌谱 | Sheet music
歌迷 | Fan
歌送 | Song of Farewell
歌配 | Song arrangement
歌颂 | Praise
歙县 | Shizhou
止不住 | Unceasing
止于至善 | Achieve perfection
止住 | Stop
止咳 | Relieve cough
止善 | To stop good deeds
止息 | To cease
止步 | Stop
止步不前 | Stagnant
止痛 | To relieve pain
止血 | Stop bleeding
止该 | Stop it
止露 | Stop showing
正三角形 | Right triangle
正上方 | Above
正下方 | Directly below
正业 | Righteous occupation
正东方 | East
正中 | Exactly in the center
正举 | Proper official
正义 | Justice
正义感 | Sense of Justice
正义战争 | Just war
正事儿 | Serious business
正五边形 | Regular Pentagon
正五过 | 
正交 | Orthogonality
正人君子 | A virtuous gentleman
正以 | Just
正价 | Oxidation state
正传 | Main story
正位 | Proper position
正体 | Block Letters
正倒 | Negative
正值 | At the time
正像 | Just like
正元元 | True origin
正六 | Regular hexagon
正前方 | Straight ahead
正北 | North
正北方 | North
正午 | Noon
正南 | South
正反 | Pros and cons
正反两方 | Both sides
正反手 | Forehand and Backhand
正反面 | Both sides
正叔 | Zheng Shu
正史 | Official history
正号括 | Parentheses
正合 | Just right
正向 | Positive
正响 | Sounding right
正在 | Be doing
正在流行 | Currently popular
正堂 | Main hall
正处 | The right place
正多边形 | Regular Polygon
正夸 | Just boasting
正好 | Just right
正如 | Just as
正妻 | Consort
正宗 | Authentic
正定 | Zhengding
正室 | Imperial Palace
正对着 | Facing directly
正屋 | Main house
正巧 | Just by chance
正己 | To correct oneself
正常 | Normal
正常化 | Normalize
正店 | Main store
正异 | Different
正式 | 
正当 | Just
正当权利 | Legitimate rights
正当权益 | Legitimate rights
正当理由 | Legitimate reason
正当竞争 | Fair competition
正当要求 | Legitimate demand
正当防卫 | Self-defense
正往 | Going straight
正德 | Zhengde
正思 | Contemplating
正惨 | Terrible
正想 | Was going to
正房 | Main hall
正手 | Forehand
正打 | In the middle of
正抖作 | Just shaking
正握 | Holding firmly
正数 | Positive number
正整数 | Positive integers
正文 | Text
正方 | Square
正方体 | Cube
正方形 | Square
正无入 | No entry
正旺 | At its peak
正是 | Exactly
正月 | First Month of the Lunar New Year
正月初一 | New Year's Day
正月十五 | Twelfth night
正来 | Right on time
正极 | Positive electrode
正果 | The righteous outcome
正正 | Correctly
正殿 | Main hall
正比 | in direct proportion
正气 | Integrity
正气歌 | Song of Righteousness
正沸着 | Is boiling
正沸见 | As it boils
正浓 | Most intense
正浮 | Floating
正热里 | In the heat
正版 | Genuine
正由 | Exactly because
正电 | Positive charge
正电子 | Positron
正电荷 | Positive Charge
正直 | Honest
正相反 | Exactly opposite
正确 | Correct
正确处理 | Proper handling
正确对待 | To treat correctly
正确态度 | Correct attitude
正确性 | Correctness
正确方向 | The Right Direction
正确理解 | Correct understanding
正确看待 | To view correctly
正确认识 | Correctly recognize
正确路线 | Correct Line
正立 | Erect
正等待 | Waiting
正线 | Main Line
正经 | Serious
正经事 | Serious Matters
正经人 | A serious person
正统 | Orthodox
正者 | Righteous people
正能量 | Positive energy
正脊 | Straight spine
正自 | Just then
正色 | Proper color
正莺儿 | The nightingale
正蓝旗 | The Blue Flag
正襟危坐 | Sitting upright with a straight back
正要 | About to
正规 | Regular
正规化 | Regularization
正视 | Face up to
正误 | Correctness
正说 | Correct
正谈 | Conversation
正负 | Positive
正负数 | Positive and negative numbers
正负极 | Positive and negative poles
正赶上 | Just in time
正蹬 | Standing still
正转 | Forward rotation
正轻 | Take it lightly
正遇 | Just in time
正道 | Right path
正门 | Main entrance
正面 | Positive
正面人物 | Main characters
正面战场 | Front Line
正题 | Main Topic
正餐 | Main meal
此一 | One
此一说 | This one theory
此中人 | People within this place
此之谓 | This is what is said
此乐何 | What is this joy?
此书 | This book
此事 | This matter
此亭 | This Pavilion
此亮 | This bright
此人 | This person
此份 | This
此会 | This meeting
此作 | This work
此先汉 | This is earlier than the Han Dynasty
此则 | This is
此刻 | At this moment
此前 | Before this
此去 | Going forth
此及 | This is sufficient
此发 | This hairstyle
此句 | This sentence
此后 | After that
此国 | This country
此图 | This picture
此地 | This place
此基础 | This foundation
此处 | Here
此外 | Besides
此头须 | This head
此山 | This mountain
此悉 | This is complete
此情此景 | This feeling
此战 | This battle
此教 | This teaching
此文 | This text
此时 | At this time
此时此刻 | At this very moment
此曲 | This piece of music
此有 | This has
此树 | This tree
此楼 | This building
此次 | This time
此此 | This
此法 | This method
此物 | This object
此画 | This painting
此皆良 | This is good
此皋 | This marshland
此种 | This kind
此篇 | This Article
此类 | Of this kind
此结 | This Knot
此臣 | This minister
此致 | Sincerely
此致敬礼 | Best regards
此花 | This flower
此行 | This trip
此表 | This table
此览物 | To examine
此言 | This statement
此词 | This word
此诗 | This poem
此诚 | This is true
此起彼伏 | Rise and fall
此身 | This body
此间 | Here
此非聘 | This is not a betrothal
此项 | This item
此题 | This question
步于 | Walking on
步伐 | Step
步入 | Enter
步兵 | Infantry
步兵连 | Infantry Squad
步出 | To step out
步子 | Step
步履 | Steps
步幅 | Step Length
步态 | Gait
步数 | Steps
步是 | Step
步枪 | Rifle
步步 | Step by step
步法 | Footwork
步炮 | Foot artillery
步点 | Step point
步田地 | Step cautiously
步行 | Walk
步行街 | Car-free zone
步调 | Gait
步调一致 | To be united in action
步辇 | Processional Wagon
步辇图 | Processional Diagram of Princess Wei
步过 | To step over
步长 | Step length
步频 | Step Frequency
步骤 | Step
武中元 | Wu Zhongyuan
武人 | Warrior
武任 | Wu Ren
武会友 | Gathering of Martial Artists
武作 | Military action
武侯 | Wu Hou
武元衡 | Wu Yuanheng
武则天 | Wu Zetian
武力 | Military force
武功 | Military achievements
武器 | 
武器装备 | Arms and Equipment
武均州报 | Wujun County Gazette
武士 | Samurai
武士道 | Bushido
武备 | Military equipment
武大 | Wuda
武夷 | Wuyi Mountains
武夷山 | Wuyishan
武威 | Wuyi
武娟 | Wu Juan
武学 | Martial Arts
武宗元 | Martial master
武官 | Military officer
武宜 | Wu Yi
武宣 | Wuxun
武将 | *Military General*
武平 | Wuping
武强 | Wujiang
武当 | Wudang
武打 | Acrobatic fighting in Chinese opera or dance
武指 | Military tactics
武昌 | Wuchang
武昌起义 | Wuchang Uprising
武术 | 
武术比赛 | Martial Arts Competition
武松 | Wu Song
武松打虎 | Wu Song slaying the tiger
武林 | Martial World
武汉 | Wuhan
武汉三镇 | Wuhan Three Towns
武汉大学 | Wuhan University
武汉市 | Wuhan
武汉长江大桥 | Wuhan Yangtze River Bridge
武王伐纣 | King Wu defeats King Zhou
武略 | Military strategy
武神 | Martial God
武胜 | Victory
武艺 | Martial arts
武艺高强 | Highly skilled in martial arts
武藤章 | Mutō Shō
武蛇山 | Wushe Mountain
武装 | Arm
武装冲突 | Armed conflict
武装到牙齿 | Armed to the teeth
武装力量 | Armed forces
武装斗争 | Armed Struggle
武装起义 | Armed Rebellion
武装部队 | Armed forces
武警 | Armed Police
武警部队 | Armed Police Forces
武进 | Wuji
武陟 | Wuzhi
武陵 | Wuling
武隆 | Wulong
歧义 | Ambiguity
歧视 | Discriminate
歧视性 | Discriminatory
歧路 | Forked road
歧路亡羊 | Lost Sheep on a Forked Road
歪头 | Crooked head
歪斜 | Slanted
歪曲 | Distort
歪曲事实 | Distort the facts
歪歪斜斜 | Crookedly
歪过去 | Lean to the side
歹人 | Bad person
歹徒 | Gangster
死举 | To raise the dead
死于安乐 | Die in comfort
死亡 | Death
死亡率 | Mortality rate
死亡者 | The deceased
死伤 | Casualties
死伤者 | Casualty
死刑 | Death penalty
死去 | Dead
死去活来 | To come back from the dead
死后 | After death
死四人伤 | Four dead
死国 | Dying nation
死国为 | To become a ruined country
死地 | Dead land
死外 | Outside (of a group
死守 | Rigidly adhering to
死寂 | Stifled silence
死尸 | Dead body
死心 | Give up
死心塌地 | Wholeheartedly
死心眼 | Stubborn
死抠 | Over-scrutinizing
死时 | At the time of death
死板 | Rigid
死死 | Stubbornly
死水 | Still water
死法 | Method of death
死活 | Life and death
死海 | Dead Sea
死灰 | Ashes
死生 | Life and death
死神 | Death
死罪 | Capital crime
死者 | Shezhe
死者家属 | Next of kin
死而后已 | One must die
死而无怨 | To die without regret
死胡同 | Dead end
死节 | Steadfast in principle
死角 | Blind corner
死记硬背 | To learn by rote
死读 | Memorize mechanically
死难 | Fallen (as in
死难同胞 | Fallen Comrades
死难者 | Deceased victims
死魂灵 | Ghost
死鸟 | Dead bird
歼击 | To destroy
歼击机 | Fighter jet
歼型 | Jian type
歼敌 | Eliminate the enemy
歼灭 | Annihilate
殆天 | To endanger heaven
殆学思 | To learn and think
殆尽 | Exhaust
殉国 | To Die a Martyr's Death
殉夫 | Suicide wife
殉职 | Sacrifice one's life for one's duty
殉难 | Martyrdom
殊死 | Desperately
殊荣 | Honor
殊遇 | Rare opportunity
残余 | Remnants
残唐 | Remnants of the Tang Dynasty
残垣断壁 | Crumbling ruins
残夜 | Dying night
残奥会 | Paralympic Games
残存 | survive
残年 | Remaining years
残年余力 | Remaining strength in the latter years
残废 | Deformity
残忍 | Cruel
残损 | Damaged
残暴 | ruthless
残桌 | Broken table
残渣 | Rubbish
残留 | Remain
残疾 | Disabled
残疾人 | Disabled person
残疾儿童 | Disabled Children
残破 | Ripped
残缺 | Incomplete
残缺不全 | Incomplete
残花 | Fallen flowers
残败 | Ruins
残躯 | Remains
残迹 | Traces
残酷 | Cruel
残阳 | Setting sun
残骸 | Remains
殖产 | Agriculture and Commerce
殖民 | Colonization
殖民主义 | Colonialism
殖民主义者 | Colonizer
殖民地 | Colony
殖民统治 | Colonial Rule
殖民者 | Colonizer
殚精竭虑 | To exhaust one's energy and intellect
殡葬 | Funeral and interment
殴打 | Beat
段分 | Sections
段布 | Piece of fabric
段时间 | Certain Period of Time
段祺瑞 | Duan Qirui
段落 | Paragraph
段距离 | Segment distance
段长 | Section leader
殷切希望 | Deep earnest hope
殷勤 | Attentive
殷墟 | Yinxu
殷实 | Solid
殷家 | Yin Family
殷承宗 | Yin Chengzong
殷殷 | Earnest
殷汝耕 | Yin Ruzheng
殷红 | Deep red
殿堂 | Palace
殿试 | Imperial examination
毁于一旦 | Destroyed completely
毁伤 | Crippling injury
毁坏 | Destroy
毁山 | Destroying the mountain
毁损 | Damage
毁掉 | Destroy
毁林 | Deforestation
毁灭 | Destroy
毁灭性 | Devastating
毁约 | Breach of contract
毁谤 | Insult
毅力 | Perseverance
毅叔 | Stern Uncle
毅然 | Resolutely
毅然决定 | Determined to decide
毅然决然 | Determined
毅魄 | Resolve
毋临 | Do not interfere
毋亡 | Do not flee
毋使 | To prevent
毋宁 | Not necessary
毋庸置疑 | Needless to say
毋念 | Do not remember
母亲 | Mother
母亲河 | Mother River
母亲节 | Mother's Day
母体 | Mother
母命 | Mother's decree
母和数 | Mother and number
母国 | Motherland
母女 | Mother and daughter
母婴 | Mother and Child
母子 | Mother and son
母子情 | Mother-Son Relationship
母家 | Mother's home
母当学 | Mothers should learn
母校 | Alma Mater
母爱 | Maternal love
母牛 | Cow
母狼 | She-wolf
母系 | Matrilineal
母系亲属 | Matrilineal Family
母线 | Main Bus
母羊 | Ewe
母语 | Native Language
母音 | Vowel
母马 | Mare
母鸡 | Hen
母鸭 | Mother duck
每一 | Each
每一件 | Each item
每一处 | Every place
每一字 | Each word
每一寸 | Every inch
每一朵 | Each flower
每一穗 | Each spike
每一课 | Each Lesson
每一项 | Each item
每万人 | Per 10
每个 | Each
每人 | Each
每人每天 | Each person every day
每件 | Each piece
每件事 | Every matter
每份 | Each
每位 | Mei Wei
每分 | Every minute
每分钟 | Per minute
每切 | Each cut
每则 | Each clause
每到 | Whenever
每刻 | Every moment
每包 | Per package
每千克 | Per kilogram
每升 | Per pint
每卷 | Per Volume
每句 | Each Sentence
每句话 | Every sentence
每台 | Each machine
每台型 | Per machine type
每叶 | Every leaf
每名 | Each
每周 | Weekly
每周三 | Every Wednesday
每场 | Each game
每块 | Each piece
每处 | Everywhere
每夜 | Every night
每天 | Every day
每天晚上 | Every evening
每天花 | To spend (time
每字 | Each word
每学期 | Per Term
每封 | Each letter
每小 | Per measure
每局 | Each set
每层 | Each floor
每届 | Every session
每常 | Usually
每幅 | Each (painting
每平方米 | Per square meter
每年 | Every year
每度 | Per Unit
每张 | Each sheet
每当 | Every time
每战 | With every battle
每户 | Per household
每排 | Each row
每支 | Each
每日 | Every day
每时 | Every time
每时每刻 | At all times
每星期 | Weekly
每晚 | Every Night
每月 | Monthly
每有 | Whenever
每期 | Each issue
每条 | Each
每根 | Each
每次 | Each time
每段 | Each paragraph
每每 | Every time
每班 | Each class
每球 | Each ball
每盒 | Each box
每碗 | Per bowl
每种 | Each
每秒 | Per second
每秒钟 | Per second
每章 | Each chapter
每筐 | Each basket
每箱 | Per box
每篇 | For each piece
每米 | Per meter
每米元 | Per meter
每类 | Each category
每组 | Group
每至 | Every time
每节 | Each section
每行 | Each line
每袋 | Per bag
每设 | Every establishment
每读 | Each time reading
每购 | With every purchase
每趟 | Every trip
每转 | Every turn
每轮 | Each round
每辆 | Per vehicle
每送 | Every time giving
每逢 | Every time
每道 | Each (measure
每部 | Each (referring to a work
每银 | Per silver
每隔 | Every
每韵 | Each rhyme
每页 | Per page
每颗 | Each
每题 | Mei ti
每首 | For each poem
每首词 | Each poem
毒剂 | War gas
毒品 | Drug
毒品走私 | Drug trafficking
毒害 | Poisonous
毒性 | Toxicity
毒手 | Poisonous hand
毒打 | Beatings
毒杀 | Poisoning
毒株 | strain
毒死 | Poison to death
毒气 | Poisonous gas
毒气弹 | Poison Gas Shells
毒液 | Venom
毒物 | Poison
毒素 | Poison
毒腺 | Poison gland
毒药 | Poison
毒蛇 | Poisonous snake
毒蜘蛛 | Venomous Spider
毒计 | Poisonous schemes
毒酒 | Poisoned Wine
毒雾 | Poisonous smog
毒鼠强 | Poisonous rat killer
比一 | By one
比一比 | To compare
比三 | Compare to three
比上 | Than
比不上 | Not as good as
比丘尼 | Bhikkhuni
比个 | Gesture
比中 | Compared to middle
比为 | Ratio as
比乙多 | More than B
比乙船 | Compared to Ship B
比乙车 | Compared to a Class B car
比亚 | Bia
比亦称 | Also known as
比什凯克 | Bishkek
比价 | Price relations
比低 | Lower than
比作 | To compare
比例 | Proportion
比例尺 | Scale
比例式 | Proportion
比值 | Ratio
比做 | Compare and do
比克 | Bikkal
比兴 | Foreshadowing
比准 | Score comparison
比分 | Score
比分数 | Fraction
比利 | (Likely a name
比利时 | Belgium
比利牛斯 | Pyrenees
比前 | Compared to before
比勒陀利亚 | Pretoria
比即 | Comparison
比原 | Compared to original
比叶 | Compared to leaves
比同 | Compared to
比喻 | Metaphor
比喻句 | Metaphorical sentence
比图 | Map
比型 | Comparative type
比埃尔 | 
比大 | Bigger
比大些 | Larger
比如 | For example
比如说 | For instance
比宫 | Villa Bi
比射 | Shooting with arrows
比小 | Smaller than
比小求 | Find the smaller one
比少 | Less than
比尔 | Bill
比尔盖茨 | Bill Gates
比屋 | Hypathus
比年 | More than a year
比应 | Compared to
比得上 | Comparable to
比我强 | Stronger than me
比拟 | To compare
比捷 | Allegro
比捷曲 | Faster than a jig
比斯开湾 | Biscay Bay
比方 | For example
比方说 | For example
比是 | Comparison
比月婆 | Moon-goddess
比棉 | Than cotton
比此 | Compared to this
比死 | Worse than death
比比 | Comparing
比比皆是 | Be everywhere
比水 | Like water
比河 | Beihe River
比泥 | Like mud
比热容 | Specific heat capacity
比照 | Compare
比爱 | Greater than love
比狼 | Like a wolf
比率 | Ratio
比瓦 | Compared to Watts
比甲少 | Less than a hundred catties
比画 | Like a painting
比盆 | Compared to the pot
比目鱼 | Snapper
比立 | Stand tall
比箭 | Like an arrow
比米 | Meters
比索 | Peso
比约 | Proportion
比纸 | Paper-like
比美 | More beautiful
比群 | Biquan
比翼齐飞 | Wings together
比老 | Older
比至 | Compare to
比莫桑 | Bimoosang
比萨 | Pizza
比试 | Compete
比说 | To contradict
比读 | Reading Comprehension
比购证 | Compare Certificate
比赛 | Competition
比赛场 | Competition Field
比赛结果 | Match result
比赛规则 | Rules of competition
比赛项目 | Competition item
比起 | Compared with
比较 | Compare
比较严重 | Quite serious
比较发达 | Relatively developed
比较复杂 | Relatively complex
比较完善 | Relatively Complete
比较忙 | Quite busy
比较清楚 | Quite clear
比较稳定 | Relatively stable
比较简单 | Relatively simple
比较繁荣 | Relatively prosperous
比较级 | Comparative
比较而言 | Comparatively speaking
比较落后 | Relatively backward
比较顺利 | Relatively smooth
比辉 | Comparison
比达 | To achieve
比邻 | Neighbor
比邻星 | Neighboring star
比重 | Proportion
比量 | Take rough measurements (with the hand
比铁 | Better than iron
比高 | Higher than
毕业 | Graduate
毕业典礼 | Graduation Ceremony
毕业生 | Graduate
毕便 | Finished
毕凤姐 | Bi Feng Jie
毕则 | Once completed
毕力 | All one's strength
毕加索 | Picasso
毕塞伯 | Besiber
毕塞河 | Písok River
毕尔巴鄂 | Bilbao
毕尽全 | To complete everything fully
毕恭毕敬 | Humble and respectful
毕河尔 | Bi He Er
毕泪 | Finished tears
毕淑敏 | Bi Shumin
毕现 | Fully revealed
毕生 | Throughout one's life
毕竟 | After all
毕罗河 | Bi luohe
毕达哥拉斯 | Pythagoras
毕露 | To reveal oneself fully
毕领 | Complete leadership
毗罗 | Vishnu
毗连 | Adjoin
毗邻 | Adjacent to
毙之方欲行 | To take action once decided
毙伤 | Killed and Wounded
毛主席 | Chairman Mao
毛乌素 | Mohe
毛亨 | Mao Heng
毛像 | Fuzzy
毛儿盖 | Maoerpo
毛其 | Ignore it
毛刷 | Brush
毛南 | Mengnang
毛南族 | Maonan族
毛厚 | Thick wool
毛发 | Hair
毛女 | Female spirit
毛如带 | Like a ribbon
毛孔 | Pores
毛宁 | Mao Ning
毛宗岗 | Mao Zonggang
毛巾 | Towel
毛志浩高琪 | Mao Zhihao Gao Qi
毛指 | Hair
毛毛 | Fluff
毛毛虫 | Caterpillars
毛毡 | Felt
毛氏 | Mao School
毛泽东 | Mao Zedong
毛泽东思想 | Mao Zedong Thought
毛玻璃 | Frosted glass
毛病 | Problem
毛白杨 | Willow
毛皮 | Fur
毛竟 | (likely a dialectal term
毛竹 | Bamboo
毛笔 | Writing brush
毛纺 | Woolen fabric
毛线 | Wool
毛细管 | Capillary
毛细血管 | Capillaries
毛织物 | Woolen fabric
毛色 | Fur color
毛苌 | Mao Chang
毛茸茸 | Fluffy
毛虫 | Caterpillar
毛衣 | Sweater
毛诗 | The Book of Poetry
毛质 | Wool texture
毛边 | With ragged edges
毛里塔尼亚 | Cote d'Ivoire
毛里求斯 | Mauritius
毛驴 | Donkey
毛骨悚然 | Chilling
毡帽 | Felt hat
毡鞋 | Felt shoes
毫不 | Not at all
毫不介意 | Not at all
毫不利己 | Not for one's own benefit
毫不动摇 | Unwavering
毫不含糊 | Unambiguous
毫不客气 | No trace of politeness
毫不掩饰 | Without concealment
毫不犹豫 | Without hesitation
毫不相关 | Unrelated
毫不相干 | Unrelated
毫不迟疑 | Without hesitation
毫不逊色 | Not inferior to
毫伏 | Thousandth of a volt
毫克 | Have milligram
毫升 | Milliliter
毫发 | A hair
毫安 | Milliamperes
毫无 | No
毫无保留 | No reservations
毫无悔意 | Without regret
毫无惧色 | Without fear
毫无意义 | Meaningless
毫无用处 | Useless
毫无疑义 | Without doubt
毫无疑问 | Without a doubt
毫无顾忌 | Without hesitation
毫瓦 | Milliwatt
毫秒 | Millisecond
毫米 | Millimeter
毫米汞柱 | Millimeter of mercury
毫芒 | Sharp point of a scale
毯子 | Blanket
毽子 | Shuttlecock
毽球 | Shuttlecock
氏二子 | The two masters
氏族 | Clan
氏族社会 | Clan society
民丰 | People are prosperous
民主 | Democracy
民主专政 | Democratic Dictatorship
民主主义 | Democracy
民主人士 | Democratic figures
民主党 | Democratic Party
民主党派 | Democratic Parties
民主决策 | Democratic Decision-Making
民主制 | Democracy
民主化 | Democratization
民主德国 | Democratic Germany
民主思想 | Democratic ideas
民主改革 | Democratic Reform
民主政体 | Democratic system
民主权利 | Democratic rights
民主监督 | Democratic Supervision
民主自由 | Democracy and freedom
民主运动 | Democratic movement
民主选举 | Democratic elections
民主集中制 | Democratic Centralism
民主革命 | Democratic Revolution
民主革命家 | Democratic Revolutionist
民之命 | The will of the people
民乐 | Folk music
民事 | Civil
民事权利 | Civil rights
民事案件 | Civil case
民事法律 | Civil Law
民事纠纷 | Civil dispute
民事行政 | Civil Administration
民事诉讼 | Civil lawsuit
民事责任 | Civil liability
民亦乐 | The people are also happy
民亦忧 | The people also worry
民众 | Masses
民俗 | Folk custom
民俗学 | Folklore
民俗文化 | Folk Culture
民俗风情 | Local customs and scenery
民党 | People's Party
民兵 | Militia
民兵组织 | Militia Organization
民军 | People's Army
民力 | People's strength
民办 | Private
民务 | Public affairs
民勤 | Minqin
民告官 | Reporting a civil case
民国 | Republic of China
民国初年 | Early years of the Republic of China
民国时期 | Republican period
民宅 | Residential house
民安 | People's safety
民居 | Vernacular dwelling
民工 | Migrant worker
民建 | Chinese Civic Forum
民心 | The people's will
民怕 | People fear
民情 | The sentiments of the people
民惟邦本 | The people are the root of the state.
民意 | Public opinion
民意基础 | Public opinion foundation
民意调查 | Opinion poll
民报 | People's newspaper
民政 | Civil Affairs
民政部门 | Civil Affairs Bureau
民族 | Nation
民族主义 | Nationalism
民族主义者 | Nationalists
民族之林 | Forest of the Nation
民族乐派 | National Music School
民族乡 | Township
民族事务 | Ethnic Affairs
民族利益 | National interests
民族区域 | Regional ethnic group
民族压迫 | National oppression
民族团结 | Ethnic unity
民族学 | ethnology
民族尊严 | National dignity
民族平等 | Ethnic Equality
民族性 | National character
民族意识 | National Consciousness
民族服饰 | Ethnic costumes
民族民间 | Folk
民族气节 | National Spirit and Integrity
民族特色 | Ethnic characteristics
民族矛盾 | Ethnic conflicts
民族自决 | Self-determination
民族自治 | Autonomous region
民族舞 | National dance
民族英雄 | National hero
民族解放 | National liberation
民族语言 | National Languages
民族音乐 | Ethnic Music
民族风情 | Ethnic Customs
民族风格 | National style
民族魂 | National spirit
民景敏 | Min Jeming
民智 | People's wisdom
民权 | People's Rights
民权主义 | Republicanism
民歌 | Folk song
民殷国富 | The people are prosperous and wealthy
民法 | Civil Law
民法典 | Civil Code
民生 | People's livelihood
民生主义 | Utilitarianism
民生凋敝 | People's livelihood deteriorating
民生问题 | People's livelihood issues
民用 | Civilian use
民用工业 | Civilian Industry
民用建筑 | Civil buildings
民用航空 | Civil aviation
民用飞机 | Civilian aircraft
民田 | Common Field
民盟 | Chinese Democratic League
民穷 | People are Poor
民穷财尽 | People impoverished
民窑 | Kiln (specifically
民脂民膏 | The people's sweat and oil
民航 | Civil aviation
民营 | Private sector
民警 | Police officer
民请 | People's request
民谣 | Folk Songs
民贼 | Bandit
民进 | Democratic Progressive Party
民选 | Democratically elected
民间 | Folk
民间传说 | Folk Legends
民间团体 | Civil organizations
民间工艺 | Folk crafts
民间故事 | Folk tales
民间文化 | Folk culture
民间文学 | Folk literature
民间组织 | Humanitarian organization
民间舞 | Folk dance
民间舞蹈 | Folk dance
民间艺人 | Folk artist
民间艺术 | Folk Art
民革 | Chinese People's Democratic League
民风 | Local customs
气不打 | To be out of breath
气二 | 
气伏 | Heatstroke
气体 | Gas
气体燃料 | Gaseous fuel
气候 | 
气候区 | Climate Zone
气候变化 | Climate change
气候宜人 | Pleasant Climate
气候带 | Climate zone
气候资源 | Climate resources
气儿 | Anger
气冈子 | The scent of the pine tree
气冲冲 | With a furious expression
